,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
106,Teresa Anillo Ramírez,107,139,94,40,54,"42,55",4,Nuria Vivancos Vivancos,Revés,Águilas,29/12/1990,"1,78",Murcia,https://www.worldpadeltour.com/jugadores/teresa-anillo-ramirez/,05/04/2021
107,Marta Quevedo Alvare,108,137,41,24,17,"58,54",3,Marta Pérez Arias,Revés,Salinas - Asturias,15/09/2001,"1,67",Salinas - Asturias,https://www.worldpadeltour.com/jugadores/marta-quevedo-alvare/,05/04/2021
108,Rafaella Masseron Laviaguerre Silva,109,136,26,9,17,"34,62",2,Lucía Rodríguez Rejón,Drive,Rio Grande - Brasil,23/10/1991,"1,65",Madrid,https://www.worldpadeltour.com/jugadores/rafaella-masseron-laviaguerre-silva/,05/04/2021
109,Melissa Martin ,110,126,14,4,10,"28,57",1,Martina Fassio Goyeneche,Revés,Paris,08/07/1990,"1,80",Madrid,https://www.worldpadeltour.com/jugadores/martin-melissa/,05/04/2021
110,Aitana Perez Encinas,111,124,0,0,0,0,2,Noa Canovas Paredes,Drive,Caceres,17/04/2004,160,Caceres,https://www.worldpadeltour.com/jugadores/aitana-perez-encinas/,05/04/2021
111,Diana Da Silva ,112,120,20,4,16,20,2,Fiona Ligi,Drive,Nogueira,30/10/1990,"1,60",Maia,https://www.worldpadeltour.com/jugadores/diana-da-silva/,05/04/2021
112,Marta Pérez Arias,113,112,16,4,12,25,2,Cristina Musial Navarro,Revés,Marbella - Málaga,01/12/1998,"1,67",Madrid,https://www.worldpadeltour.com/jugadores/marta-perez-arias/,05/04/2021
113,Martina Fassio Goyeneche,113,112,0,0,0,0,3,Aitana García Román,Revés,Pamplona,26/04/2004,"1,65",Pamplona ,https://www.worldpadeltour.com/jugadores/martina-fassio-goyeneche/,05/04/2021
114,Carla Barciela Rodríguez,115,110,88,36,52,"40,91",3,Gala León García,Revés,Vigo,13/02/1985,1.7,Vigo,https://www.worldpadeltour.com/jugadores/carla-barciela-rodriguez/,05/04/2021
115,Lorena Vano ,116,108,4,0,4,0,1,Ana Varo Ramos,Drive,Caserta (Nápoles),15/08/1999,1'67,Málaga ,https://www.worldpadeltour.com/jugadores/lorena-vano/,05/04/2021
116,Maria Del Mar Rodríguez Salazar,117,105,23,4,19,"17,39",2,Cristina González Moro,Revés,Cordoba ,10/05/2002,"1,67",Cordoba ,https://www.worldpadeltour.com/jugadores/maria-del-mar-rodriguez-salazar-rodriguez-salazar/,05/04/2021
117,María Vera Mencías,118,104,37,4,33,"10,81",1,Noemí Aguilar Carrillo,Drive,Madrid,13/01/1994,"1,6",Madrid,https://www.worldpadeltour.com/jugadores/maria-vera-mencias/,05/04/2021
118,Cristina Bala Abella,119,103,37,20,17,"54,05",5,Noa Canovas Paredes,Revés,Barcelona,30/12/1988,"1,64",Barcelona,https://www.worldpadeltour.com/jugadores/cristina-bala-abella/,05/04/2021
119,Noelia Márquez Rite,120,98,97,32,65,"32,99",2,Marta Pérez Arias,Drive,Huelva,21/08/1987,"1,64",Madrid,https://www.worldpadeltour.com/jugadores/noelia-marquez-rite/,05/04/2021
120,Agustina Ceretani Hegi,121,97,29,10,19,"34,48",1,Andrea Pérez Selles,Drive,"Rosario, Argentina",09/02/1993,"1,60",Castro Urdiales,https://www.worldpadeltour.com/jugadores/agustina-ceretani-hegi/,05/04/2021
121,Mireia Herrada Ruiz,122,94,11,1,10,"9,09",3,Marina Guinart España,Revés,Sabadell - Barcelona,14/05/1997,"1,70",Sabadell - Barcelona,https://www.worldpadeltour.com/jugadores/mireia-herrada-ruiz/,05/04/2021
122,Valentina Tommasi ,123,93,4,0,4,0,1,Emily Stellato,Revés,Roma,16/10/1995,"1,70",Roma,https://www.worldpadeltour.com/jugadores/valentina-tommasi/,05/04/2021
123,Marina Guinart España,124,92,0,0,0,0,3,Mireia Herrada Ruiz,Drive,Sabadell,30/06/1996,1.78,Castellar del valles,https://www.worldpadeltour.com/jugadores/marina-guinart-espana/,05/04/2021
124,Eugenia Guimet Bigas,125,89,21,9,12,"42,86",3,Lucía Pérez Parra,Revés,Barcelona,28/03/2001,"1,72",Barcelona,https://www.worldpadeltour.com/jugadores/eugenia-guimet-bigas/,05/04/2021
125,Laura Martínez Escribano,126,85,59,23,36,"38,98",2,Aida González Vila,Revés,Jaén,23/02/1996,"1,72",Jaén,https://www.worldpadeltour.com/jugadores/laura-martinez-escribano/,05/04/2021
126,Anouk Faure ,127,84,4,1,3,25,1,Ksenia Sharifova,Drive,Ginebra - Suiza,29/04/1988,"1,59",Valencia ,https://www.worldpadeltour.com/jugadores/anouk-faure/,05/04/2021
127,Rebeca Lopez Lopez,127,84,11,4,7,"36,36",2,Melissa Martin,Drive,Madrid,02/11/2000,"1,50",Madrid,https://www.worldpadeltour.com/jugadores/rebeca-lopez-lopez/,05/04/2021
128,Cristina González Moro,129,83,44,16,28,"36,36",2,Melisa Chico Echandia,Drive,Bilbao,21/05/1997,"1,60",Bilbao,https://www.worldpadeltour.com/jugadores/cristina-gonzalez-moro/,05/04/2021
129,Emily Stellato ,130,81,0,0,0,0,2,Valentina Tommasi,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/emily-stellato/,05/04/2021
130,Irene Arzamendi García,131,78,49,25,24,"51,02",3,Ainhoa Rico Martín,Drive,San Sebastián,01/04/1997,"1,65",San Sebastián,https://www.worldpadeltour.com/jugadores/irene-arzamendi-garcia/,05/04/2021
131,Erika Zanchetta ,132,71,0,0,0,0,1,Valentina Tommasi,Revés,Latina,06/02/1989,165 cm,Latina,https://www.worldpadeltour.com/jugadores/erika-zanchetta/,05/04/2021
132,Inés Muñoz Escudero,132,71,83,31,52,"37,35",2,Manuela Schuck Silva,Drive,Ponferrada,04/04/1996,"1,73",Valladolid,https://www.worldpadeltour.com/jugadores/ines-munoz-escudero/,05/04/2021
133,Alba Lopez Blas,134,70,18,6,12,"33,33",2,Rafaella Masseron Laviaguerre Silva,Revés,Madrid,01/05/2002,"1,65",Madrid,https://www.worldpadeltour.com/jugadores/alba-lopez-blas/,05/04/2021
134,Katia Rodrigues ,134,70,1,0,1,0,0,Diana da Silva,Drive,Johanesburgo,30/11/1981,"1,73",Lisboa,https://www.worldpadeltour.com/jugadores/katia-rodrigues/,05/04/2021
135,Sabela Barciela Rodríguez,134,70,77,30,47,"38,96",3,Carla Barciela Rodríguez,Drive,Vigo,13/02/1985,"1,7",Vigo,https://www.worldpadeltour.com/jugadores/sabela-barciela-rodriguez/,05/04/2021
136,Ana Varo Ramos,137,67,3,1,2,"33,33",2,Lorena Vano,Revés,Marbella ,27/09/1999,"1,65",Malaga ,https://www.worldpadeltour.com/jugadores/ana-varo-ramos/,05/04/2021
137,Cristina Musial Navarro,137,67,14,5,9,"35,71",2,Marta Pérez Arias,Revés,Valencia,05/01/2001,"1,77",Valencia,https://www.worldpadeltour.com/jugadores/cristina-musial-navarro/,05/04/2021
138,Pilar Albarran Villalon,137,67,8,2,6,25,1,Rocio Albarran Villalon,Drive,Badajoz,15/01/2002,"1,70",Badajoz,https://www.worldpadeltour.com/jugadores/pilar-albarran-villalon/,05/04/2021
139,Rocio Albarran Villalon,137,67,8,2,6,25,1,Pilar Albarran Villalon,Revés,Badajoz,08/01/2003,"1,70",Badajoz,https://www.worldpadeltour.com/jugadores/rocio-albarran-villalon/,05/04/2021
140,Melisa Chico Echandia,141,64,4,1,3,25,1,Cristina González Moro,Revés,Necochea ,12/11/1984,"1,65 ",Madrid ,https://www.worldpadeltour.com/jugadores/melisa-chico-echandia/,05/04/2021
141,Iris Donate Murcia,142,63,69,30,39,"43,48",2,Cristina Musial Navarro,Revés,Petrer,06/09/1993,"1,59",Petrer,https://www.worldpadeltour.com/jugadores/iris-donate-murcia/,05/04/2021
142,Andrea Pérez Selles,144,59,9,2,7,"22,22",1,Agustina Ceretani Hegi,Revés,Alicante,13/04/2001,"1,73",Altea - España,https://www.worldpadeltour.com/jugadores/andrea-perez-selles/,05/04/2021
143,Noa Canovas Paredes,145,58,0,0,0,0,1,Aitana Perez Encinas,Revés,Barcelona,23/04/2004,"1,63",Barcelona,https://www.worldpadeltour.com/jugadores/noa-canovas-paredes/,05/04/2021
144,Ángela Álvarez Bengoa,146,57,83,29,54,"34,94",4,Patricia Martínez Fortún,Drive,Oviedo,05/11/1986,"1,66",Gijón,https://www.worldpadeltour.com/jugadores/angela-alvarez-bengoa/,05/04/2021
145,Carla Pozuelo Salamanca,147,54,9,3,6,"33,33",1,Tamara Del Pino Calero,Revés,Madrid ,06/02/2002,"1,60",Madrid,https://www.worldpadeltour.com/jugadores/carla-pozuelo-salamanca/,05/04/2021
146,Tamara Del Pino Calero,148,53,27,5,22,"18,52",2,Carla Pozuelo Salamanca,Drive,Talavera,05/02/1987,"1,65",Talavera,https://www.worldpadeltour.com/jugadores/tamara-del-pino-calero/,05/04/2021
